Date,Open,High,Low,Close,Adj Close,Volume
2020-06-25,949.900024,964.799988,936.250000,943.099976,934.936829,7508087
2020-06-26,955.000000,976.099976,940.500000,962.200012,953.871521,6554103
2020-06-29,950.000000,956.099976,930.000000,936.599976,928.493103,4575801
2020-06-30,948.700012,952.150024,931.400024,943.650024,935.482117,3656480
2020-07-01,941.000000,941.000000,917.000000,924.299988,916.299561,6426017
2020-07-02,936.000000,950.700012,926.000000,941.299988,933.152405,6542705
2020-07-03,948.000000,955.400024,941.599976,944.250000,936.076904,3928063
2020-07-06,953.099976,959.500000,946.650024,951.200012,942.966736,3900219
2020-07-07,955.000000,961.900024,940.000000,943.599976,935.432495,4051767
2020-07-08,944.950012,964.400024,938.000000,941.250000,933.102844,5227021
2020-07-09,945.000000,952.000000,940.000000,944.950012,936.770813,3777760
2020-07-10,940.000000,952.000000,930.549988,932.150024,924.081665,4537688
2020-07-13,940.000000,944.799988,925.000000,928.150024,920.116272,3821300
2020-07-14,928.000000,934.950012,905.849976,912.900024,904.998291,3646237
2020-07-15,918.049988,925.000000,909.299988,912.200012,904.304321,3229770
2020-07-16,913.000000,924.000000,898.450012,921.150024,913.176880,3134451
2020-07-17,922.099976,929.950012,918.000000,925.549988,917.538757,2040517
2020-07-20,929.000000,931.900024,915.000000,919.599976,911.640198,3035845
2020-07-21,927.000000,942.299988,920.599976,938.049988,929.930542,4756570
2020-07-22,939.200012,941.000000,910.000000,920.900024,912.929016,4977432
2020-07-23,912.000000,937.950012,911.349976,916.549988,908.616638,9075059
2020-07-24,914.400024,914.500000,898.049988,904.400024,896.571838,6059379
2020-07-27,908.000000,915.000000,896.299988,903.799988,895.976990,3615970
2020-07-28,908.799988,917.000000,899.000000,913.500000,905.593018,3793721
2020-07-29,919.599976,940.849976,917.250000,921.950012,913.969910,7245021
2020-07-30,929.000000,932.700012,904.200012,908.250000,900.388489,3364408
2020-07-31,913.900024,922.900024,907.049988,913.450012,905.543518,2943858
2020-08-03,913.000000,919.750000,903.549988,915.900024,907.972290,3583167
2020-08-04,918.000000,930.000000,916.599976,924.250000,916.250000,3860346
2020-08-05,923.950012,934.500000,920.799988,925.750000,925.750000,3007723
2020-08-06,926.049988,933.700012,920.250000,922.150024,922.150024,2188023
2020-08-07,922.549988,926.849976,914.099976,915.650024,915.650024,2461109
2020-08-10,925.000000,970.000000,925.000000,960.049988,960.049988,11861641
2020-08-11,969.599976,979.700012,957.099976,961.900024,961.900024,5427516
2020-08-12,952.000000,956.000000,945.000000,949.750000,949.750000,3672458
2020-08-13,957.000000,993.650024,951.549988,990.700012,990.700012,8816193
2020-08-14,999.950012,1017.000000,973.400024,982.799988,982.799988,13443785
2020-08-17,1002.000000,1007.000000,987.700012,1000.799988,1000.799988,4735094
2020-08-18,1005.950012,1008.000000,995.400024,1004.549988,1004.549988,4362050
2020-08-19,1017.250000,1024.949951,1005.400024,1009.099976,1009.099976,4914223
2020-08-20,986.000000,1005.000000,981.000000,995.750000,995.750000,4791040
2020-08-21,1010.000000,1010.000000,992.000000,994.150024,994.150024,2806380
2020-08-24,996.000000,1001.400024,990.000000,991.349976,991.349976,2026255
2020-08-25,993.000000,999.900024,977.799988,980.400024,980.400024,2914757
2020-08-26,987.000000,988.000000,965.000000,968.950012,968.950012,4482066
2020-08-27,975.250000,980.000000,965.299988,975.599976,975.599976,4466609
2020-08-28,988.000000,1004.700012,978.200012,981.849976,981.849976,7821191
2020-08-31,988.099976,995.400024,940.400024,944.950012,944.950012,8489726
2020-09-01,964.950012,966.000000,943.299988,955.200012,955.200012,5099949
2020-09-02,956.450012,959.799988,948.000000,955.549988,955.549988,2107714
2020-09-03,960.000000,971.000000,953.299988,961.150024,961.150024,3278899
2020-09-04,948.000000,956.150024,940.000000,942.500000,942.500000,3130721
2020-09-07,947.150024,950.750000,916.250000,932.150024,932.150024,3470806
2020-09-08,936.000000,936.000000,912.950012,916.700012,916.700012,3738931
2020-09-09,907.549988,928.000000,901.000000,909.500000,909.500000,5656245
2020-09-10,917.700012,923.000000,912.000000,920.950012,920.950012,2948599
2020-09-11,920.000000,921.549988,912.000000,917.400024,917.400024,2632298
2020-09-14,922.400024,923.349976,901.000000,902.099976,902.099976,5006356
2020-09-15,910.000000,915.200012,900.000000,909.950012,909.950012,4488829
2020-09-16,915.000000,924.000000,911.349976,921.799988,921.799988,3596197
2020-09-17,915.000000,917.950012,905.049988,906.299988,906.299988,4512652
2020-09-18,911.200012,914.099976,897.000000,900.700012,900.700012,7496145
2020-09-21,901.000000,903.799988,874.299988,881.849976,881.849976,4597697
2020-09-22,887.950012,887.950012,852.000000,856.500000,856.500000,5089087
2020-09-23,866.200012,873.700012,854.549988,860.599976,860.599976,3709291
2020-09-24,856.000000,859.900024,843.000000,850.700012,850.700012,11609426
