Date,Open,High,Low,Close,Adj Close,Volume
2020-06-25,22495.000000,22619.099609,21889.000000,22068.800781,22068.800781,47016
2020-06-26,22111.000000,22700.000000,21863.400391,22523.800781,22523.800781,56262
2020-06-29,22450.000000,22483.800781,21927.599609,22341.900391,22341.900391,49397
2020-06-30,22353.800781,23330.000000,22341.900391,23051.099609,23051.099609,102429
2020-07-01,22814.300781,23215.000000,22516.800781,22663.500000,22663.500000,71638
2020-07-02,22850.000000,22950.000000,22511.000000,22762.800781,22762.800781,42084
2020-07-03,22985.000000,22987.599609,22737.599609,22872.699219,22872.699219,31513
2020-07-06,22879.000000,23215.000000,22850.800781,23111.199219,23111.199219,84877
2020-07-07,23072.500000,23087.699219,22656.000000,22824.099609,22824.099609,41646
2020-07-08,22900.000000,23050.000000,22345.900391,22439.800781,22439.800781,57101
2020-07-09,22622.000000,22915.000000,22380.199219,22803.599609,22803.599609,48256
2020-07-10,22799.000000,22799.000000,22182.199219,22295.400391,22295.400391,44546
2020-07-13,22460.000000,22627.800781,22250.000000,22311.199219,22311.199219,52261
2020-07-14,22388.000000,22394.800781,21710.400391,22085.800781,22085.800781,61251
2020-07-15,22101.000000,22274.000000,21750.000000,21843.199219,21843.199219,48201
2020-07-16,22031.900391,22031.900391,21250.000000,21731.099609,21731.099609,42359
2020-07-17,21731.099609,22400.000000,21606.000000,22269.900391,22269.900391,38076
2020-07-20,22325.099609,22399.900391,22007.300781,22266.099609,22266.099609,38325
2020-07-21,22495.000000,22810.000000,22260.199219,22440.800781,22440.800781,73590
2020-07-22,22500.000000,22534.900391,21919.300781,21979.400391,21979.400391,44685
2020-07-23,22023.000000,22129.400391,21501.000000,21568.199219,21568.199219,69557
2020-07-24,21547.099609,21600.000000,21160.000000,21332.800781,21332.800781,58308
2020-07-27,21449.900391,21590.000000,21015.900391,21113.800781,21113.800781,61731
2020-07-28,21147.000000,22020.000000,21110.000000,21915.800781,21915.800781,96902
2020-07-29,21696.599609,22200.000000,21624.000000,21743.699219,21743.699219,65343
2020-07-30,21845.000000,22025.000000,21300.000000,21395.099609,21395.099609,51697
2020-07-31,21395.500000,21890.000000,21350.000000,21711.199219,21711.199219,50697
2020-08-03,21670.099609,21864.099609,21490.000000,21747.199219,21747.199219,29527
2020-08-04,21700.000000,21940.900391,21325.900391,21593.800781,21593.800781,52275
2020-08-05,21793.300781,22150.000000,21451.099609,22103.900391,22103.900391,84442
2020-08-06,22120.000000,22165.000000,21530.000000,21722.800781,21722.800781,56603
2020-08-07,21900.000000,22074.199219,21621.300781,21910.099609,21910.099609,41429
2020-08-10,22200.000000,22550.000000,21939.599609,22396.400391,22396.400391,125347
2020-08-11,21920.000000,21989.900391,21322.000000,21551.599609,21551.599609,188583
2020-08-12,21566.000000,21634.699219,21270.000000,21378.900391,21378.900391,72527
2020-08-13,21569.000000,21644.400391,21103.300781,21237.000000,21237.000000,66877
2020-08-14,21395.000000,21700.000000,21201.599609,21458.199219,21458.199219,78902
2020-08-17,21600.000000,21649.900391,21401.000000,21512.800781,21512.800781,34712
2020-08-18,21512.800781,21950.000000,21512.800781,21914.300781,21914.300781,76377
2020-08-19,22148.000000,22173.300781,21850.099609,22081.300781,22081.300781,47993
2020-08-20,21974.000000,22236.400391,21788.199219,22080.199219,22080.199219,37684
2020-08-21,22160.000000,22467.800781,22100.300781,22317.800781,22317.800781,34259
2020-08-24,22317.800781,22543.000000,22156.000000,22210.800781,22210.800781,37878
2020-08-25,22260.199219,22461.800781,21650.000000,21810.800781,21810.800781,64964
2020-08-26,21950.000000,21999.000000,21600.099609,21710.699219,21710.699219,38074
2020-08-27,21710.699219,21753.300781,21460.000000,21528.000000,21528.000000,40826
2020-08-28,21645.000000,21800.000000,21251.500000,21329.599609,21329.599609,52818
2020-08-31,21478.900391,21550.000000,20010.000000,20283.000000,20283.000000,114635
2020-09-01,20449.000000,20599.900391,19975.000000,20466.599609,20466.599609,74777
2020-09-02,20599.000000,20748.400391,20450.000000,20563.599609,20563.599609,49617
2020-09-03,20540.000000,20849.000000,20250.699219,20429.000000,20429.000000,50370
2020-09-04,20300.000000,20500.000000,19950.000000,20025.300781,20025.300781,64481
2020-09-07,20100.000000,20119.199219,19636.099609,19782.900391,19782.900391,59728
2020-09-08,19782.900391,20199.000000,19272.099609,19355.800781,19355.800781,65858
2020-09-09,19300.000000,19566.000000,19068.099609,19401.500000,19401.500000,83567
2020-09-10,19500.000000,19750.000000,19319.000000,19643.300781,19643.300781,44713
2020-09-11,19735.500000,19735.500000,19365.099609,19502.500000,19502.500000,61263
2020-09-14,19512.300781,19985.000000,19500.000000,19789.500000,19789.500000,60868
2020-09-15,19779.000000,20147.900391,19600.000000,20065.199219,20065.199219,71895
2020-09-16,20065.199219,20492.599609,19946.199219,20387.800781,20387.800781,51068
2020-09-17,20375.000000,20375.000000,19795.900391,19888.400391,19888.400391,65445
2020-09-18,19915.000000,20108.599609,19399.500000,19520.900391,19520.900391,82189
2020-09-21,19520.900391,19600.000000,18707.699219,18903.699219,18903.699219,35929
2020-09-22,19075.000000,19187.199219,18424.000000,18982.400391,18982.400391,71503
2020-09-23,18985.500000,19115.300781,18536.800781,18951.800781,18951.800781,45567
2020-09-24,18800.000000,18846.900391,18183.599609,18341.900391,18341.900391,64615
